# Data1   	  Data2    	  Data3    	  Data4 
 1030.82 	  2211.14 	  4736.16 	   953.84 	
  574.43 	  2420.50 	  2003.85 	   971.39 	
 1555.43 	  2972.90 	  2168.58 	  1495.64 	
 2578.75 	  1828.91 	  1781.11 	 15516.57 	
 1636.83 	  1867.09 	  3037.87 	  2181.04 	
 2354.64 	  2857.06 	  1064.28 	  2760.07 	
 3400.13 	  2494.88 	  4106.48 	   346.00 	
 3471.79 	   434.24 	  2827.50 	  2466.64 	
 2940.09 	  2776.35 	  2817.29 	  4244.23 	
 2935.75 	  1864.50 	  4200.71 	  2867.09 	
 4011.23 	  2695.94 	  3235.07 	   486.04 	
 1268.98 	   942.99 	  2101.71 	  5211.83 	
 2875.64 	  4828.35 	  2057.24 	  7174.26 	
 2854.94 	  1427.67 	  1404.59 	   563.12 	
 2295.27 	  1261.83 	  4551.34 	  5409.81 	
 1555.47 	  2408.43 	  1876.84 	  1296.71 	
 3836.60 	  2041.85 	  1460.68 	   138.03 	
 2828.53 	  2707.50 	  1073.16 	  1346.93 	
 3314.87 	  1611.05 	  4054.72 	  4973.00 	
 2956.06 	  2157.95 	  3294.15 	 10671.02 	
 1899.55 	  2727.74 	  1998.50 	  2453.60 	
 2836.46 	  2207.61 	  1746.21 	  3208.76 	
 4700.02 	  2628.62 	  3375.75 	   920.69 	
 5306.14 	  2053.29 	  3571.49 	   468.94 	
 3431.38 	  1597.98 	  3144.24 	   886.46 	
 2745.04 	  1843.28 	  3455.97 	  1763.42 	
 4003.60 	  4009.04 	  1607.03 	  5339.96 	
 3333.91 	  2890.72 	  2139.42 	  7147.26 	
 3371.46 	  1529.82 	  5913.52 	    13.20 	
 5135.04 	  1061.50 	  1322.71 	  3980.08 	
 3783.58 	  1162.43 	  4273.15 	   953.84 	
 3810.19 	  1604.85 	  1179.75 	  4195.11 	
 2746.50 	  2738.24 	  1620.59 	  1989.36 	
 2393.55 	  2060.20 	  2423.46 	   861.24 	
 2975.16 	  2237.59 	  3134.33 	  4945.18 	
 3487.38 	  4319.54 	  1732.21 	  3206.26 	
 2242.08 	  3373.26 	  1796.51 	   180.73 	
 1872.31 	  1594.78 	  1188.12 	   209.49 	
 1685.95 	  2226.95 	  5851.94 	   257.68 	
 1387.32 	  2935.59 	  1836.66 	  1469.09 	
 3901.91 	  2827.53 	  3818.01 	  3193.06 	
 1371.14 	  2336.19 	  1320.01 	  1634.15 	
 1346.82 	  2549.40 	  3245.23 	  4386.68 	
